airport;country;new_month;new_price;next_date
Billund;Dania;listopad;55.94;2020-09-22
Kharkiv International;Ukraina;listopad;56.09;2020-09-22
Oslo-Torp;Norwegia;wrzesień;67.1;2020-09-22
Gdańsk;Polska;listopad;78.0;2020-09-22
Dortmund;Niemcy;październik;81.21;2020-09-22
Kijów-Boryspol;Ukraina;październik;81.21;2020-09-22
Malmo;Szwecja;październik;82.35;2020-09-22
Sztokholm-Skavsta;Szwecja;październik;82.35;2020-09-22
Barcelona-El Prat;Hiszpania;październik;83.39;2020-09-22
Berlin Brandenburg;Niemcy;październik;83.39;2020-09-22
Bolonia;Włochy;październik;83.39;2020-09-22
Bruksela-Charleroi;Belgia;październik;83.39;2020-09-22
Mediolan-Bergamo;Włochy;październik;83.39;2020-09-22
Edynburg;Wielka Brytania;październik;89.58;2020-09-22
Londyn-Luton;Wielka Brytania;październik;89.58;2020-09-22
Londyn-Stansted;Wielka Brytania;październik;89.58;2020-09-22
Pafos;Cypr;wrzesień;91.72;2020-09-22
Düsseldorf-Weeze;Niemcy;październik;98.01;2020-09-22
Bari;Włochy;listopad;99.59;2020-09-22
Eindhoven;Holandia;marzec;103.39;2020-09-22
Saloniki;Grecja;październik;103.39;2020-09-22
Bournemouth;Wielka Brytania;październik;106.1;2020-09-22
Frankfurt International;Niemcy;październik;109.5;2020-09-22
East Midlands;Wielka Brytania;październik;110.09;2020-09-22
Glasgow;Wielka Brytania;listopad;110.09;2020-09-22
Catania;Włochy;listopad;111.18;2020-09-22
Neapol;Włochy;październik;114.5;2020-09-22
Bristol;Wielka Brytania;listopad;115.58;2020-09-22
Chersoń;Ukraina;listopad;116.72;2020-09-22
Lviv;Ukraina;listopad;116.72;2020-09-22
Palma;Hiszpania;październik;116.72;2020-09-22
Paryż-Beauvais;Francja;październik;116.72;2020-09-22
Sewilla;Hiszpania;październik;116.72;2020-09-22
Tel Aviv;Izrael;październik;116.72;2020-09-22
Walencja;Hiszpania;październik;116.72;2020-09-22
Liverpool;Wielka Brytania;październik;125.02;2020-09-22
Belfast-International;Wielka Brytania;październik;133.02;2020-09-22
Kopenhaga;Dania;październik;133.67;2020-09-22
Leeds/Bradford;Wielka Brytania;listopad;136.09;2020-09-22
Birmingham;Wielka Brytania;październik;140.9;2020-09-22
Malaga;Hiszpania;październik;141.78;2020-09-22
Ateny;Grecja;październik;141.91;2020-09-22
Dublin;Irlandia;listopad;149.65;2020-09-22
Madryt;Hiszpania;październik;149.65;2020-09-22
Palermo;Włochy;październik;152.99;2020-09-22
Odesa International;Ukraina;listopad;154.5;2020-09-22
Wenecja-Treviso;Włochy;listopad;154.5;2020-09-22
Manchester;Wielka Brytania;październik;155.02;2020-09-22
Rzym-Ciampino;Włochy;październik;158.94;2020-09-22
Alicante;Hiszpania;październik;164.5;2020-09-22
Cagliari;Włochy;październik;166.71;2020-09-22
Malta;Malta;październik;166.71;2020-09-22
Marsylia;Francja;listopad;177.83;2020-09-22
Piza;Włochy;listopad;177.83;2020-09-22
Porto;Portugalia;październik;177.83;2020-09-22
Praga;Czechy;październik;178.07;2020-09-22
Amman Jordan;Jordania;październik;190.04;2020-09-22
Szczecin;Polska;sierpień;205.2;2020-09-22
Lisbon;Portugalia;październik;210.31;2020-09-22
Burgas;Bułgaria;październik;241.14;2020-09-22
Brindisi;Włochy;październik;254.36;2020-09-22
Pescara;Włochy;lipiec;263.26;2020-09-22
Göteborg-Landvetter;Szwecja;sierpień;271.17;2020-09-22
Nuremberg;Niemcy;sierpień;272.7;2020-09-22
Shannon;Irlandia;październik;273.51;2020-09-22
Chania (Kreta);Grecja;październik;275.96;2020-09-22
Lourdes;Francja;marzec;299.03;2020-09-22
Bordeaux;Francja;wrzesień;337.48;2020-09-22
Lamezia;Włochy;marzec;341.58;2020-09-22
Zadar;Chorwacja;marzec;376.03;2020-09-22
Teneryfa-Południe;Hiszpania;listopad;412.13;2020-09-22
Bruksela Zaventem;Belgia;sierpień;421.24;2020-09-22
Rimini;Włochy;wrzesień;447.57;2020-09-22
Podgorica;Czarnogóra;wrzesień;456.02;2020-09-22
